Date;Type;Statut;Montant;Détails
10/06/2021;Débit;Succès;6,50 €;SARL VAN DER VERSCH - 21 PLACE DE LA LIBERTE  BREST 29200
10/06/2021;Débit;Succès;9,50 €;SARL VAN DER VERSCH - 21 PLACE DE LA LIBERTE  BREST 29200
08/06/2021;Débit;Succès;19,00 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
05/06/2021;Débit;Succès;4,60 €;EURL BOULANGERIE NICOL - 118 BOULEVARD MONTAIGNE  BREST 29200
05/06/2021;Débit;Succès;9,00 €;EURL BOULANGERIE NICOL - 118 BOULEVARD MONTAIGNE  BREST 29200
05/06/2021;Crédit;Succès;178,50 €;Chargement de votre carte ( 17 titres x 10,50 € )
