> Date,Libellé,Montant,Tag,Type
>2020/11/03,Virement Mika,50.00€,caché,
>2020/11/03,Virement Maeliss,600.00€,caché,
>2020/11/02,Intermarché,-60.98€,bouffe,
>2020/11/02,Leclerc,-26.28€,bouffe,
>2020/11/02,Editeur livres Le Hêtre,-10.06€,culture,
>2020/11/02,Steam (jeux),-5.98€,culture,
>2020/10/30,Ti Coop,-13.45€,bouffe,
>2020/10/30,Cinéma Les Studios,-6.00€,sortie,
>2020/10/29,Ti Coop,-10.71€,bouffe,
>2020/10/29,Subway,-7.70€,restau,
>2020/10/28,The Cottage,-6.70€,sortie,
>2020/10/26,La poste mobile,-9.99€,abonnement,
>2020/10/26,Boulangerie : Fournil de Pauline,-13.90€,bouffe,
>2020/10/26,Biocoop,-11.45€,bouffe,
>2020/10/23,Ti Coop,-24.72€,bouffe,
>2020/10/23,Intermarché,-23.64€,bouffe,
>2020/10/22,Virement William,-133.16€,caché,
